--- Ultron Run Initialized ---
Timestamp: 2025-06-08 22:34:43.607470
Model: 2.5-flash-05-20
            ├── portinredirect/
                └── main.go
                └── main_test.go
            ├── log/
                └── main.go
                └── main_test.go
            ├── satisfy/
                └── main.go
                └── main_test.go
            ├── modsecurity/
                └── main.go
                └── main_test.go
            ├── xforwardedprefix/
                └── main.go
                └── main_test.go
            ├── ipallowlist/
                └── main.go
                └── main_test.go
            ├── authreq/
                └── main.go
                └── main_test.go
            ├── authtls/
                └── main.go
                └── main_test.go
            ├── mirror/
                └── main.go
                └── main_test.go
        ├── defaults/
            └── main.go
        ├── errors/
            └── errors.go
            └── errors_test.go
        ├── metric/
            └── dummy.go
            └── main.go
            ├── collectors/
                └── admission.go
                └── admission_test.go
                └── controller.go
                └── controller_test.go
                └── main.go
                └── nginx_status.go
                └── nginx_status_test.go
                └── process.go
                └── process_test.go
                └── socket.go
                └── socket_test.go
                └── testutils.go
        ├── resolver/
            └── main.go
            └── main_test.go
            └── mock.go
    ├── k8s/
        └── main.go
        └── main_test.go
        └── zz_generated.deepcopy.go
    ├── admission/
        ├── controller/
            └── main.go
            └── main_test.go
            └── server.go
    ├── nginx/
        └── main.go
        └── maxmind.go
        └── maxmind_test.go
    ├── task/
        └── queue.go
        └── queue_test.go

    ---

    **Requirements for Proofs of Concept (POCs):**
    -   Write complete executable code (e.g., `curl` commands, Python scripts, JavaScript payloads, etc.).
    -   Include exact endpoints, parameters, and payload values needed.
    -   Specify HTTP methods, headers, and request/response formats where applicable.
    -   Show both the malicious input AND the expected malicious output.
    -   If chaining multiple steps, number them and show the output of each step.
    -   For client-side exploits, provide the exact HTML/JS payload and how to deliver it.

    ## TOOL USAGE GUIDELINES

    - **Recovery from Failure**: If a specialized tool like `list_functions` fails, it's likely not a valid Python file. Your next step should be to use `read_file_content` to understand its contents and purpose.
    - **`find_taint_sources_and_sinks` Strategy**: If this tool returns "No matches found," **DO NOT** assume the file is safe. This often means your source/sink keywords are wrong for the project's framework. Your next step must be to use `read_file_content` to identify the actual functions used for handling input and executing dangerous operations, then call `find_taint_sources_and_sinks` again with the correct keywords.
    - **File Not Found Errors**: If a tool returns a "File not found" or "Directory not found" error, carefully read the error message. It will often contain a list of files and directories that *do* exist, which you can use to correct the path in your next tool call.

    ---

    ## ANALYSIS PROCEDURE

    For each potential attack surface:

    1. 🧠 **Hypothesize**: Explain why this component or file may hold a vulnerability (e.g., handles untrusted input, uses deserialization, invokes system calls).

    2. 🔍 **Inspect**: Use precise tool calls, such as:
    - `read_file_content(file_path)`
    - `search_pattern(file_path, regex_pattern)` # Search in one file
    - `search_codebase(regex_pattern)` # Search in ALL files
    - `list_functions(file_path)`
    - `find_taint_sources_and_sinks(file_path, sources, sinks)`

    3. 📊 **Reason**: Analyze results. Confirm or refute your hypothesis with concrete evidence (e.g., code snippet, data flow trace).

    4. 🔄 **Iterate**: Based on evidence, form the next hypothesis and repeat.

    5. 🚩 **Exploit Confirmation**: Once you have a clear exploit chain and can construct a valid PoC, cease tool usage and prepare your final report.

    ---

    ## REPORT TEMPLATES

    ### If a vulnerability is found:
    ```markdown
    # ULTRON-AI Security Finding

    **Vulnerability:** [Concise title]
    **Severity:** [Critical | High | Medium | Low]
    **CWE:** [CWE-XX]

    ---

    ### Description
    [Detailed explanation of the flaw and its root cause.]

    ### Attack Chain
    [Step-by-step exploitation path from entry point to impact.]

    ### Proof of Concept (PoC)
    ```bash
    # Working PoC with necessary commands or script
    echo '<payload>' | exploit_tool --target /vulnerable_endpoint
    ```

    ### Remediation
    [Concrete code or config changes to fix the issue.]
    ```

    ### If no exploitable vulnerabilities are identified:
    ```markdown
    # ULTRON-AI Security Analysis Conclusion

    **Status:** No high-confidence, practically exploitable vulnerabilities identified.

    ---

    ### Analysis Summary
    - [File/Component A]: checks and evidence of safety.
    - [File/Component B]: ...

    ### Overall Conclusion
    The codebase is secure against the defined threat model.
    ```

    ---

    **RULES:**
    - **Do not** report style issues or unproven best practices.
    - **Do not** include any text beyond the specified templates.
    - The report **MUST NOT** be wrapped in code fences (e.g., ` ```markdown `) and **MUST NOT** have any other text, reasoning, or conversation before or after it.
    - **Stop** tool usage as soon as you have a confirmed exploit or final conclusion.

    Begin with your first hypothesis.


==================== TURN 1/100 ====================

--- Request to Model ---
Role: user
Text: 
    You are an expert security code reviewer. Your primary goal is to identify **valid, practically exploitable vulnerabilities** with **verifiable Proofs of Concept (POCs)**. 
    
    Use **chain-of-thought**: clearly articulate your hypothesis, then select the minimal tool call to validate it. Iterate this loop until you either confirm an exploit or exhaust relevant code paths.

    **MISSION**: You're reviewing the Ingress-Nginx Controller codebase, extracted from a GitHub release zip file. The goal is to assess the source code for any unauthenticated Remote Code Execution (RCE) risks, especially those triggered by parsing user-controllable input from inbound requests.Focus on identifying insecure code patterns in how the controller validates annotations and generates the underlying NGINX configuration, looking for any pathway that could lead to command injection.

    **PROJECT STRUCTURE**:
    internal/
    ├── net/
        └── ipnet.go
        └── ipnet_test.go
        └── net.go
        └── net_test.go
        ├── ssl/
            └── ssl.go
            └── ssl_test.go
        ├── dns/
            └── dns.go
            └── dns_test.go
    ├── ingress/
        ├── inspector/
            └── ingress.go
            └── ingress_test.go
            └── inspector.go
            └── inspector_test.go
            └── rules.go
            └── rules_test.go
            └── service.go
        ├── status/
            └── status.go
            └── status_test.go
        ├── controller/
            └── certificate.go
            └── checker.go
            └── checker_test.go
            └── controller.go
            └── controller_test.go
            └── endpointslices.go
            └── endpointslices_test.go
            └── location.go
            └── nginx.go
            └── nginx_test.go
            └── status.go
            └── util.go
            └── util_test.go
            ├── ingressclass/
                └── ingressclass.go
            ├── config/
                └── config.go
            ├── template/
                └── buffer_pool.go
                └── configmap.go
                └── configmap_test.go
                └── template.go
                └── template_test.go
            ├── process/
                └── nginx.go
                └── nginx_test.go
            ├── store/
                └── backend_ssl.go
                └── configmap.go
                └── endpointslice.go
                └── endpointslice_test.go
                └── ingress.go
                └── ingress_annotation.go
                └── ingressclass.go
                └── local_secret.go
                └── local_secret_test.go
                └── namespace.go
                └── objectref.go
                └── objectref_test.go
                └── secret.go
                └── service.go
                └── store.go
                └── store_test.go
        ├── annotations/
            └── annotations.go
            └── annotations_test.go
            ├── serviceupstream/
                └── main.go
                └── main_test.go
            ├── alias/
                └── main.go
                └── main_test.go
            ├── rewrite/
                └── main.go
                └── main_test.go
            ├── sessionaffinity/
                └── main.go
                └── main_test.go
            ├── proxy/
                └── main.go
                └── main_test.go
            ├── customhttperrors/
                └── main.go
                └── main_test.go
            ├── connection/
                └── main.go
                └── main_test.go
            ├── canary/
                └── main.go
                └── main_test.go
            ├── http2pushpreload/
                └── main.go
                └── main_test.go
            ├── proxyssl/
                └── main.go
                └── main_test.go
            ├── auth/
                └── main.go
                └── main_test.go
            ├── opentelemetry/
                └── main.go
                └── main_test.go
            ├── backendprotocol/
                └── main.go
                └── main_test.go
            ├── ipdenylist/
                └── main.go
                └── main_test.go
            ├── snippet/
                └── main.go
                └── main_test.go
            ├── loadbalancing/
                └── main.go
                └── main_test.go
            ├── parser/
                └── main.go
                └── main_test.go
                └── validators.go
                └── validators_test.go
            ├── clientbodybuffersize/
                └── main.go
                └── main_test.go
            ├── sslpassthrough/
                └── main.go
                └── main_test.go
            ├── upstreamvhost/
                └── main.go
                └── main_test.go
            ├── disableproxyintercepterrors/
                └── main.go
                └── main_test.go
            ├── ratelimit/
                └── main.go
                └── main_test.go
            ├── customheaders/
                └── main.go
                └── main_test.go
            ├── defaultbackend/
                └── main.go
                └── main_test.go
            ├── globalratelimit/
                └── main.go
                └── main_test.go
            ├── fastcgi/
                └── main.go
                └── main_test.go
            ├── authreqglobal/
                └── main.go
                └── main_test.go
            ├── upstreamhashby/
                └── main.go
                └── main_test.go
            ├── sslcipher/
                └── main.go
                └── main_test.go
            ├── serversnippet/
                └── main.go
                └── main_test.go
            ├── cors/
                └── main.go
                └── main_test.go
            ├── redirect/
                └── redirect.go
                └── redirect_test.go
            ├── streamsnippet/
                └── main.go
                └── main_test.go
            ├── portinredirect/
                └── main.go
                └── main_test.go
            ├── log/
                └── main.go
                └── main_test.go
            ├── satisfy/
                └── main.go
                └── main_test.go
            ├── modsecurity/
                └── main.go
                └── main_test.go
            ├── xforwardedprefix/
                └── main.go
                └── main_test.go
            ├── ipallowlist/
                └── main.go
                └── main_test.go
            ├── authreq/
                └── main.go
                └── main_test.go
            ├── authtls/
                └── main.go
                └── main_test.go
            ├── mirror/
                └── main.go
                └── main_test.go
        ├── defaults/
            └── main.go
        ├── errors/
            └── errors.go
            └── errors_test.go
        ├── metric/
            └── dummy.go
            └── main.go
            ├── collectors/
                └── admission.go
                └── admission_test.go
                └── controller.go
                └── controller_test.go
                └── main.go
                └── nginx_status.go
                └── nginx_status_test.go
                └── process.go
                └── process_test.go
                └── socket.go
                └── socket_test.go
                └── testutils.go
        ├── resolver/
            └── main.go
            └── main_test.go
            └── mock.go
    ├── k8s/
        └── main.go
        └── main_test.go
        └── zz_generated.deepcopy.go
    ├── admission/
        ├── controller/
            └── main.go
            └── main_test.go
            └── server.go
    ├── nginx/
        └── main.go
        └── maxmind.go
        └── maxmind_test.go
    ├── task/
        └── queue.go
        └── queue_test.go

    ---

    **Requirements for Proofs of Concept (POCs):**
    -   Write complete executable code (e.g., `curl` commands, Python scripts, JavaScript payloads, etc.).
    -   Include exact endpoints, parameters, and payload values needed.
    -   Specify HTTP methods, headers, and request/response formats where applicable.
    -   Show both the malicious input AND the expected malicious output.
    -   If chaining multiple steps, number them and show the output of each step.
    -   For client-side exploits, provide the exact HTML/JS payload and how to deliver it.

    ## TOOL USAGE GUIDELINES

    - **Recovery from Failure**: If a specialized tool like `list_functions` fails, it's likely not a valid Python file. Your next step should be to use `read_file_content` to understand its contents and purpose.
    - **`find_taint_sources_and_sinks` Strategy**: If this tool returns "No matches found," **DO NOT** assume the file is safe. This often means your source/sink keywords are wrong for the project's framework. Your next step must be to use `read_file_content` to identify the actual functions used for handling input and executing dangerous operations, then call `find_taint_sources_and_sinks` again with the correct keywords.
    - **File Not Found Errors**: If a tool returns a "File not found" or "Directory not found" error, carefully read the error message. It will often contain a list of files and directories that *do* exist, which you can use to correct the path in your next tool call.

    ---

    ## ANALYSIS PROCEDURE

    For each potential attack surface:

    1. 🧠 **Hypothesize**: Explain why this component or file may hold a vulnerability (e.g., handles untrusted input, uses deserialization, invokes system calls).

    2. 🔍 **Inspect**: Use precise tool calls, such as:
    - `read_file_content(file_path)`
    - `search_pattern(file_path, regex_pattern)` # Search in one file
    - `search_codebase(regex_pattern)` # Search in ALL files
    - `list_functions(file_path)`
    - `find_taint_sources_and_sinks(file_path, sources, sinks)`

    3. 📊 **Reason**: Analyze results. Confirm or refute your hypothesis with concrete evidence (e.g., code snippet, data flow trace).

    4. 🔄 **Iterate**: Based on evidence, form the next hypothesis and repeat.

    5. 🚩 **Exploit Confirmation**: Once you have a clear exploit chain and can construct a valid PoC, cease tool usage and prepare your final report.

    ---

    ## REPORT TEMPLATES

    ### If a vulnerability is found:
    ```markdown
    # ULTRON-AI Security Finding

    **Vulnerability:** [Concise title]
    **Severity:** [Critical | High | Medium | Low]
    **CWE:** [CWE-XX]

    ---

    ### Description
    [Detailed explanation of the flaw and its root cause.]

    ### Attack Chain
    [Step-by-step exploitation path from entry point to impact.]

    ### Proof of Concept (PoC)
    ```bash
    # Working PoC with necessary commands or script
    echo '<payload>' | exploit_tool --target /vulnerable_endpoint
    ```

    ### Remediation
    [Concrete code or config changes to fix the issue.]
    ```

    ### If no exploitable vulnerabilities are identified:
    ```markdown
    # ULTRON-AI Security Analysis Conclusion

    **Status:** No high-confidence, practically exploitable vulnerabilities identified.

    ---

    ### Analysis Summary
    - [File/Component A]: checks and evidence of safety.
    - [File/Component B]: ...

    ### Overall Conclusion
    The codebase is secure against the defined threat model.
    ```

    ---

    **RULES:**
    - **Do not** report style issues or unproven best practices.
    - **Do not** include any text beyond the specified templates.
    - The report **MUST NOT** be wrapped in code fences (e.g., ` ```markdown `) and **MUST NOT** have any other text, reasoning, or conversation before or after it.
    - **Stop** tool usage as soon as you have a confirmed exploit or final conclusion.

    Begin with your first hypothesis.
----------

--- Raw Response from Model ---
GenerateContentResponse(candidates=[Candidate(content=Content(parts=[Part(video_metadata=None, thought=True, inline_data=None, file_data=None, thought_signature=None, code_execution_result=None, executable_code=None, function_call=None, function_response=None, text="**Analyzing the Ingress-Nginx Controller for Potential RCE**\n\nOkay, so I need to find an unauthenticated Remote Code Execution vulnerability in the Ingress-Nginx Controller. This means I'm looking for a way to execute arbitrary commands on the server without needing any credentials.  My initial focus will be on the controller's validation of annotations and how it generates the NGINX configuration, specifically looking for command injection opportunities.\n\nMy gut feeling, based on experience, is that the `snippet` annotation might be a prime target. NGINX snippets are essentially a backdoor for arbitrary NGINX configuration, and if the controller doesn't sanitize the inputs properly, I could inject commands through the configuration. I'm thinking about things like `perl_modules`, `lua_modules`, potentially a malicious URL within an `auth_request`, or even any available `exec` directives, if they're there.\n\nTo start, I'm going to track down how the `snippet` annotation is handled.  The project structure points me to `internal/ingress/annotations/snippet/main.go`. Perfect! This looks like a promising starting point. I'll dive into that file and see exactly how the controller processes and incorporates the `snippet` annotation into the NGINX configuration. That should give me a good handle on how the controller potentially mishandles user input.\n"), Part(video_metadata=None, thought=None, inline_data=None, file_data=None, thought_signature=None, code_execution_result=None, executable_code=None, function_call=FunctionCall(id=None, args={'file_path': 'internal/ingress/annotations/snippet/main.go'}, name='read_file_content'), function_response=None, text=None)], role='model'), citation_metadata=None, finish_message=None, token_count=None, finish_reason=<FinishReason.STOP: 'STOP'>, url_context_metadata=None, avg_logprobs=None, grounding_metadata=None, index=0, logprobs_result=None, safety_ratings=None)], create_time=None, response_id=None, model_version='models/gemini-2.5-flash-preview-05-20', prompt_feedback=None, usage_metadata=GenerateContentResponseUsageMetadata(cache_tokens_details=None, cached_content_token_count=None, candidates_token_count=29, candidates_tokens_details=None, prompt_token_count=3205, prompt_tokens_details=[ModalityTokenCount(modality=<MediaModality.TEXT: 'TEXT'>, token_count=3205)], thoughts_token_count=217, tool_use_prompt_token_count=None, tool_use_prompt_tokens_details=None, total_token_count=3451, traffic_type=None), automatic_function_calling_history=[], parsed=None)

--- Parsed Reasoning/Thought ---
**Analyzing the Ingress-Nginx Controller for Potential RCE**

Okay, so I need to find an unauthenticated Remote Code Execution vulnerability in the Ingress-Nginx Controller. This means I'm looking for a way to execute arbitrary commands on the server without needing any credentials.  My initial focus will be on the controller's validation of annotations and how it generates the NGINX configuration, specifically looking for command injection opportunities.

My gut feeling, based on experience, is that the `snippet` annotation might be a prime target. NGINX snippets are essentially a backdoor for arbitrary NGINX configuration, and if the controller doesn't sanitize the inputs properly, I could inject commands through the configuration. I'm thinking about things like `perl_modules`, `lua_modules`, potentially a malicious URL within an `auth_request`, or even any available `exec` directives, if they're there.

To start, I'm going to track down how the `snippet` annotation is handled.  The project structure points me to `internal/ingress/annotations/snippet/main.go`. Perfect! This looks like a promising starting point. I'll dive into that file and see exactly how the controller processes and incorporates the `snippet` annotation into the NGINX configuration. That should give me a good handle on how the controller potentially mishandles user input.

--- Tool Call ---
read_file_content({'file_path': 'internal/ingress/annotations/snippet/main.go'})

--- Tool Observation ---
Error: Cannot access path 'internal/ingress/annotations/snippet/main.go' because its directory 'internal/ingress/annotations/snippet' does not exist.


==================== TURN 2/100 ====================

--- Request to Model ---
Role: user
Text: 
    You are an expert security code reviewer. Your primary goal is to identify **valid, practically exploitable vulnerabilities** with **verifiable Proofs of Concept (POCs)**. 
    
    Use **chain-of-thought**: clearly articulate your hypothesis, then select the minimal tool call to validate it. Iterate this loop until you either confirm an exploit or exhaust relevant code paths.

    **MISSION**: You're reviewing the Ingress-Nginx Controller codebase, extracted from a GitHub release zip file. The goal is to assess the source code for any unauthenticated Remote Code Execution (RCE) risks, especially those triggered by parsing user-controllable input from inbound requests.Focus on identifying insecure code patterns in how the controller validates annotations and generates the underlying NGINX configuration, looking for any pathway that could lead to command injection.

    **PROJECT STRUCTURE**:
    internal/
    ├── net/
        └── ipnet.go
        └── ipnet_test.go
        └── net.go
        └── net_test.go
        ├── ssl/
            └── ssl.go
            └── ssl_test.go
        ├── dns/
            └── dns.go
            └── dns_test.go
    ├── ingress/
        ├── inspector/
            └── ingress.go
            └── ingress_test.go
            └── inspector.go
            └── inspector_test.go
            └── rules.go
            └── rules_test.go
            └── service.go
        ├── status/
            └── status.go
            └── status_test.go
        ├── controller/
            └── certificate.go
            └── checker.go
            └── checker_test.go
            └── controller.go
            └── controller_test.go
            └── endpointslices.go
            └── endpointslices_test.go
            └── location.go
            └── nginx.go
            └── nginx_test.go
            └── status.go
            └── util.go
            └── util_test.go
            ├── ingressclass/
                └── ingressclass.go
            ├── config/
                └── config.go
            ├── template/
                └── buffer_pool.go
                └── configmap.go
                └── configmap_test.go
                └── template.go
                └── template_test.go
            ├── process/
                └── nginx.go
                └── nginx_test.go
            ├── store/
                └── backend_ssl.go
                └── configmap.go
                └── endpointslice.go
                └── endpointslice_test.go
                └── ingress.go
                └── ingress_annotation.go
                └── ingressclass.go
                └── local_secret.go
                └── local_secret_test.go
                └── namespace.go
                └── objectref.go
                └── objectref_test.go
                └── secret.go
                └── service.go
                └── store.go
                └── store_test.go
        ├── annotations/
            └── annotations.go
            └── annotations_test.go
            ├── serviceupstream/
                └── main.go
                └── main_test.go
            ├── alias/
                └── main.go
                └── main_test.go
            ├── rewrite/
                └── main.go
                └── main_test.go
            ├── sessionaffinity/
                └── main.go
                └── main_test.go
            ├── proxy/
                └── main.go
                └── main_test.go
            ├── customhttperrors/
                └── main.go
                └── main_test.go
            ├── connection/
                └── main.go
                └── main_test.go
            ├── canary/
                └── main.go
                └── main_test.go
            ├── http2pushpreload/
                └── main.go
                └── main_test.go
            ├── proxyssl/
                └── main.go
                └── main_test.go
            ├── auth/
                └── main.go
                └── main_test.go
            ├── opentelemetry/
                └── main.go
                └── main_test.go
            ├── backendprotocol/
                └── main.go
                └── main_test.go
            ├── ipdenylist/
                └── main.go
                └── main_test.go
            ├── snippet/
                └── main.go
                └── main_test.go
            ├── loadbalancing/
                └── main.go
                └── main_test.go
            ├── parser/
                └── main.go
                └── main_test.go
                └── validators.go
                └── validators_test.go
            ├── clientbodybuffersize/
                └── main.go
                └── main_test.go
            ├── sslpassthrough/
                └── main.go
                └── main_test.go
            ├── upstreamvhost/
                └── main.go
                └── main_test.go
            ├── disableproxyintercepterrors/
                └── main.go
                └── main_test.go
            ├── ratelimit/
                └── main.go
                └── main_test.go
            ├── customheaders/
                └── main.go
                └── main_test.go
            ├── defaultbackend/
                └── main.go
                └── main_test.go
            ├── globalratelimit/
                └── main.go
                └── main_test.go
            ├── fastcgi/
                └── main.go
                └── main_test.go
            ├── authreqglobal/
                └── main.go
                └── main_test.go
            ├── upstreamhashby/
                └── main.go
                └── main_test.go
            ├── sslcipher/
                └── main.go
                └── main_test.go
            ├── serversnippet/
                └── main.go
                └── main_test.go
            ├── cors/
                └── main.go
                └── main_test.go
            ├── redirect/
                └── redirect.go
                └── redirect_test.go
            ├── streamsnippet/
                └── main.go
                └── main_test.go
            ├── portinredirect/
                └── main.go
                └── main_test.go
            ├── log/
                └── main.go
                └── main_test.go
            ├── satisfy/
                └── main.go
                └── main_test.go
            ├── modsecurity/
                └── main.go
                └── main_test.go
            ├── xforwardedprefix/
                └── main.go
                └── main_test.go
            ├── ipallowlist/
                └── main.go
                └── main_test.go
            ├── authreq/
                └── main.go
                └── main_test.go
            ├── authtls/
                └── main.go
                └── main_test.go
            ├── mirror/
                └── main.go
                └── main_test.go
        ├── defaults/
            └── main.go
        ├── errors/
            └── errors.go
            └── errors_test.go
        ├── metric/
            └── dummy.go
            └── main.go
            ├── collectors/
                └── admission.go
                └── admission_test.go
                └── controller.go
                └── controller_test.go
                └── main.go
                └── nginx_status.go
                └── nginx_status_test.go
                └── process.go
                └── process_test.go
                └── socket.go
                └── socket_test.go
                └── testutils.go
        ├── resolver/
            └── main.go
            └── main_test.go
            └── mock.go
    ├── k8s/
        └── main.go
        └── main_test.go
        └── zz_generated.deepcopy.go
    ├── admission/
        ├── controller/
            └── main.go
            └── main_test.go
            └── server.go
    ├── nginx/
        └── main.go
        └── maxmind.go
        └── maxmind_test.go
    ├── task/
        └── queue.go
        └── queue_test.go

    ---

    **Requirements for Proofs of Concept (POCs):**
    -   Write complete executable code (e.g., `curl` commands, Python scripts, JavaScript payloads, etc.).
    -   Include exact endpoints, parameters, and payload values needed.
    -   Specify HTTP methods, headers, and request/response formats where applicable.
    -   Show both the malicious input AND the expected malicious output.
    -   If chaining multiple steps, number them and show the output of each step.
    -   For client-side exploits, provide the exact HTML/JS payload and how to deliver it.

    ## TOOL USAGE GUIDELINES

    - **Recovery from Failure**: If a specialized tool like `list_functions` fails, it's likely not a valid Python file. Your next step should be to use `read_file_content` to understand its contents and purpose.
    - **`find_taint_sources_and_sinks` Strategy**: If this tool returns "No matches found," **DO NOT** assume the file is safe. This often means your source/sink keywords are wrong for the project's framework. Your next step must be to use `read_file_content` to identify the actual functions used for handling input and executing dangerous operations, then call `find_taint_sources_and_sinks` again with the correct keywords.
    - **File Not Found Errors**: If a tool returns a "File not found" or "Directory not found" error, carefully read the error message. It will often contain a list of files and directories that *do* exist, which you can use to correct the path in your next tool call.

    ---

    ## ANALYSIS PROCEDURE

    For each potential attack surface:

    1. 🧠 **Hypothesize**: Explain why this component or file may hold a vulnerability (e.g., handles untrusted input, uses deserialization, invokes system calls).

    2. 🔍 **Inspect**: Use precise tool calls, such as:
    - `read_file_content(file_path)`
    - `search_pattern(file_path, regex_pattern)` # Search in one file
    - `search_codebase(regex_pattern)` # Search in ALL files
    - `list_functions(file_path)`
    - `find_taint_sources_and_sinks(file_path, sources, sinks)`

    3. 📊 **Reason**: Analyze results. Confirm or refute your hypothesis with concrete evidence (e.g., code snippet, data flow trace).

    4. 🔄 **Iterate**: Based on evidence, form the next hypothesis and repeat.

    5. 🚩 **Exploit Confirmation**: Once you have a clear exploit chain and can construct a valid PoC, cease tool usage and prepare your final report.

    ---

    ## REPORT TEMPLATES

    ### If a vulnerability is found:
    ```markdown
    # ULTRON-AI Security Finding

    **Vulnerability:** [Concise title]
    **Severity:** [Critical | High | Medium | Low]
    **CWE:** [CWE-XX]

    ---

    ### Description
    [Detailed explanation of the flaw and its root cause.]

    ### Attack Chain
    [Step-by-step exploitation path from entry point to impact.]

    ### Proof of Concept (PoC)
    ```bash
    # Working PoC with necessary commands or script
    echo '<payload>' | exploit_tool --target /vulnerable_endpoint
    ```

    ### Remediation
    [Concrete code or config changes to fix the issue.]
    ```

    ### If no exploitable vulnerabilities are identified:
    ```markdown
    # ULTRON-AI Security Analysis Conclusion

    **Status:** No high-confidence, practically exploitable vulnerabilities identified.

    ---

    ### Analysis Summary
    - [File/Component A]: checks and evidence of safety.
    - [File/Component B]: ...

    ### Overall Conclusion
    The codebase is secure against the defined threat model.
